param_id,sampling_method,objective,num_workers,n_estimators,model_name,max_depth,eval_metric,batch_size,test_accuracy,valid_accuracy,training_time,train_samples,test_samples,valid_samples
20250816_210431_iter_1,over,multi:softmax,0,100,ResNet50,3,mlogloss,64,0.8,0.8636363636363636,190.64956426620483,4274,110,110
20250816_210431_iter_2,over,multi:softmax,0,100,ResNet50,5,mlogloss,64,0.8090909090909091,0.8909090909090909,215.95270919799805,4274,110,110
20250816_210431_iter_3,over,multi:softmax,0,200,ResNet50,3,mlogloss,64,0.8181818181818182,0.8636363636363636,302.69322204589844,4274,110,110
20250816_210431_iter_4,over,multi:softmax,0,200,ResNet50,5,mlogloss,64,0.8090909090909091,0.9,310.259006023407,4274,110,110
20250816_210431_iter_5,under,multi:softmax,0,100,ResNet50,3,mlogloss,64,0.7636363636363637,0.8090909090909091,194.1612980365753,4274,110,110
20250816_210431_iter_6,under,multi:softmax,0,100,ResNet50,5,mlogloss,64,0.7727272727272727,0.8181818181818182,207.0422580242157,4274,110,110
20250816_210431_iter_7,under,multi:softmax,0,200,ResNet50,3,mlogloss,64,0.7454545454545455,0.8090909090909091,303.24178194999695,4274,110,110
20250816_210431_iter_8,under,multi:softmax,0,200,ResNet50,5,mlogloss,64,0.7636363636363637,0.8181818181818182,308.255291223526,4274,110,110
20250816_210431_iter_9,none,multi:softmax,0,100,ResNet50,3,mlogloss,64,0.8272727272727273,0.9545454545454546,200.66776084899905,4274,110,110
20250816_210431_iter_10,none,multi:softmax,0,100,ResNet50,5,mlogloss,64,0.8181818181818182,0.9272727272727272,209.5831310749054,4274,110,110
20250816_210431_iter_11,none,multi:softmax,0,200,ResNet50,3,mlogloss,64,0.8272727272727273,0.9545454545454546,297.67270517349243,4274,110,110
20250816_210431_iter_12,none,multi:softmax,0,200,ResNet50,5,mlogloss,64,0.8181818181818182,0.9272727272727272,306.4443190097809,4274,110,110
20250816_210431_iter_13,over,multi:softmax,0,100,EfficientNet_B0,3,mlogloss,64,0.8454545454545455,0.8545454545454545,95.38631796836852,4274,110,110
20250816_210431_iter_14,over,multi:softmax,0,100,EfficientNet_B0,5,mlogloss,64,0.8545454545454545,0.8454545454545455,104.27781200408936,4274,110,110
20250816_210431_iter_15,over,multi:softmax,0,200,EfficientNet_B0,3,mlogloss,64,0.8454545454545455,0.8727272727272727,135.8507010936737,4274,110,110
20250816_210431_iter_16,over,multi:softmax,0,200,EfficientNet_B0,5,mlogloss,64,0.8545454545454545,0.8454545454545455,143.53297591209412,4274,110,110
20250816_210431_iter_17,under,multi:softmax,0,100,EfficientNet_B0,3,mlogloss,64,0.8727272727272727,0.8090909090909091,97.45171523094176,4274,110,110
20250816_210431_iter_18,under,multi:softmax,0,100,EfficientNet_B0,5,mlogloss,64,0.7727272727272727,0.8636363636363636,104.22752475738524,4274,110,110
20250816_210431_iter_19,under,multi:softmax,0,200,EfficientNet_B0,3,mlogloss,64,0.8727272727272727,0.8181818181818182,135.05143213272095,4274,110,110
20250816_210431_iter_20,under,multi:softmax,0,200,EfficientNet_B0,5,mlogloss,64,0.7727272727272727,0.8636363636363636,142.14705300331116,4274,110,110
20250816_210431_iter_21,none,multi:softmax,0,100,EfficientNet_B0,3,mlogloss,64,0.8636363636363636,0.8272727272727273,96.59492874145508,4274,110,110
20250816_210431_iter_22,none,multi:softmax,0,100,EfficientNet_B0,5,mlogloss,64,0.7727272727272727,0.8181818181818182,110.76389408111572,4274,110,110
20250816_210431_iter_23,none,multi:softmax,0,200,EfficientNet_B0,3,mlogloss,64,0.8545454545454545,0.8272727272727273,131.04459595680237,4274,110,110
20250816_210431_iter_24,none,multi:softmax,0,200,EfficientNet_B0,5,mlogloss,64,0.7818181818181819,0.8181818181818182,146.39697098731995,4274,110,110
20250817_192202_single_model,over,multi:softmax,0,100,ResNet50,5,mlogloss,64,0.7727272727272727,0.8181818181818182,110.98738384246826,4274,110,110
